Country,Year,SavingsRate,RealGDP,LaborForce,HumanCapital,PhysicalCapital
Albania,1980,0.393474877,9981.908203,0.924907088,2.395581484,42834.52344
Albania,1981,0.420889139,10555.42676,0.951494277,2.445611954,45231.08594
Albania,1982,0.448294759,10866.66992,0.977161765,2.496687412,47943.00391
Albania,1983,0.419517547,10986.74023,1.00067246,2.548829556,50831.42578
Albania,1984,0.376850963,10849.22949,1.024635792,2.58823657,53751.48047
Albania,1985,0.386771888,11042.41504,1.053973913,2.624506235,56010.125
Albania,1986,0.383316576,11660.20508,1.090107799,2.648263454,58482.48438
Albania,1987,0.35039115,11568.30762,1.128141642,2.672235727,61068.25391
Albania,1988,0.353900105,11403.9668,1.163504839,2.696424961,63407.09766
Albania,1989,0.372505516,12526.18457,1.195692182,2.720833063,66093.03125
Albania,1990,0.341148496,11277.18848,1.209110975,2.745462179,68706.61719
Albania,1991,0.059538081,8119.334473,1.178623438,2.760858059,66863.40625
Albania,1992,0.052994128,7534.785645,1.160966039,2.776340246,65005.28516
Albania,1993,0.137958929,8258.138672,1.163659692,2.791908979,64102.01563
Albania,1994,0.182500198,8943.582031,1.161000013,2.807565212,64051.91406
Albania,1995,0.180302367,10133.06543,1.138000011,2.823309422,64248.55469
Albania,1996,0.143527403,11055.35059,1.116000056,2.841259956,64364.25391
Albania,1997,0.10613025,9857.1875,1.106999993,2.859324455,63841.83984
Albania,1998,0.13873972,10745.20117,1.085000038,2.87750411,63509.39453
Albania,1999,0.152079329,12195.92871,1.065000057,2.89579916,63659.80078
Albania,2000,0.198002279,13003.87402,1.067999959,2.914210558,64572.89844
Albania,2001,0.235702887,14036.40039,0.920000017,2.929844618,66115.5
Albania,2002,0.243296504,14630.33008,0.920000017,2.945562601,67710.35938
Albania,2003,0.279979616,15470.09277,0.925999939,2.961364746,69873.08594
Albania,2004,0.28290382,16347.74609,0.930999994,2.977251768,72032.27344
Albania,2005,0.288078189,17289.2832,0.931999922,2.993223906,74277.75781
Albania,2006,0.332065791,18228.26563,0.935000002,2.995421171,77001.64844
Albania,2007,0.336150676,19304.70313,0.93900001,2.997620106,79863.32031
Albania,2008,0.369008243,20759.55664,0.973999977,2.999820709,83534.40625
Albania,2009,0.385173708,21445.13086,0.898999989,3.002022743,87562.40625
Albania,2010,0.291234463,22290.90234,0.916999936,3.004226446,89937.60938
Argentina,1980,0.196319297,267424,10.02597713,2.385681629,1099234.625
Argentina,1981,0.176927775,252937.7813,10.38387108,2.412153244,1129445.375
Argentina,1982,0.15487954,244941.8125,10.78470135,2.438918591,1145876.625
Argentina,1983,0.15130198,255014.6719,10.83967781,2.465980768,1166885
Argentina,1984,0.146104828,260128.9844,11.06833649,2.493343353,1188639.25
Argentina,1985,0.14395614,242034.1719,11.24098492,2.521009445,1206864.75
Argentina,1986,0.147072926,259324.1875,11.14021873,2.546166658,1224176.25
Argentina,1987,0.164445281,265892.3125,11.59447575,2.56778121,1242719.375
Argentina,1988,0.163614541,260700.125,11.76383114,2.585005283,1260921.875
Argentina,1989,0.150058061,242423.5938,11.95371628,2.602344513,1268955.25
Argentina,1990,0.120960176,239178.4688,12.13101768,2.619800329,1272395.375
Argentina,1991,0.134955242,264282.7188,12.3006506,2.628952742,1282562.5
Argentina,1992,0.162950873,291515.7813,12.36049461,2.638137341,1301538.25
Argentina,1993,0.19033058,309740.4063,12.32858181,2.647353888,1328319.75
Argentina,1994,0.212026119,327817.5938,12.28699017,2.656602621,1364487.75
Argentina,1995,0.200314954,318490.3438,12.61837673,2.66588378,1386535.625
Argentina,1996,0.225788385,336092.2813,12.68769073,2.670605659,1412302.625
Argentina,1997,0.24450472,363352.9063,12.59156036,2.675335646,1448913.625
Argentina,1998,0.24438563,377342.6563,12.56184101,2.680074215,1489348.625
Argentina,1999,0.209533706,364567.875,12.62456894,2.684821129,1517077.125
Argentina,2000,0.203355178,361691.4688,12.77998257,2.689576387,1534509.375
Argentina,2001,0.186356753,345745.0938,12.99986267,2.704452276,1542644.875
Argentina,2002,0.133944735,308077.9375,11.58111954,2.719410658,1536595.75
Argentina,2003,0.167227387,335302.9375,12.30291939,2.734451771,1548244.25
Argentina,2004,0.194427952,365579.3125,13.08739662,2.749576092,1575927.75
Argentina,2005,0.197918326,399135.6563,13.98750114,2.764784098,1614070.875
Argentina,2006,0.212051287,432926.6875,14.53891563,2.77547121,1663779.375
Argentina,2007,0.221140996,470389.3438,14.61716175,2.78619957,1723073.25
Argentina,2008,0.237047747,502180.3125,14.89111996,2.796969652,1781686.625
Argentina,2009,0.211465612,506450.0625,14.66599941,2.807781219,1827231.125
Argentina,2010,0.228779137,552845.5,14.8714447,2.81863451,1879056.875
Australia,1980,0.307123899,325161,6.327039242,3.256988287,1036922.75
Australia,1981,0.321791679,335689.875,6.406192303,3.257009983,1084522.5
Australia,1982,0.279776305,327920.625,6.395645142,3.257031679,1120364.375
Australia,1983,0.289992362,343483.375,6.29425621,3.257053375,1158244.625
Australia,1984,0.306877732,360873.9688,6.518253803,3.257075071,1202498.25
Australia,1985,0.312916398,377427.9063,6.75058794,3.257096767,1249575.25
Australia,1986,0.296453267,387315.5625,7.046724796,3.259851933,1293476.5
Australia,1987,0.305637538,409196.5313,7.213516235,3.262609243,1342262
Australia,1988,0.319380701,425206.3438,7.486357212,3.265369177,1398983.25
Australia,1989,0.307865173,440437.625,7.799517155,3.268131256,1452621.375
Australia,1990,0.249855682,438913.1563,7.924060345,3.27089572,1491355.25
Australia,1991,0.240045324,440760.7813,7.72667551,3.274437189,1523725.5
Australia,1992,0.255999565,458815.5625,7.684467793,3.277982235,1560841.875
Australia,1993,0.269595027,477505.1563,7.736511707,3.281531334,1601773.125
Australia,1994,0.283424765,496677.5938,7.98380518,3.285084009,1652760.75
Australia,1995,0.26693216,516512.2813,8.301739693,3.288640738,1703047.875
Australia,1996,0.266034812,536659.3125,8.403098106,3.292536736,1757886.25
Australia,1997,0.27234292,560939.0625,8.477408409,3.296437502,1820256
Australia,1998,0.274832696,588729.5,8.669998169,3.300342798,1884679.375
Australia,1999,0.275247425,611373,8.816765785,3.304252863,1956478.625
Australia,2000,0.245086044,622985.0625,9.042480469,3.308167458,2011091
Australia,2001,0.258303672,647363.75,9.132058144,3.313054085,2076382.125
Australia,2002,0.279922694,667764.3125,9.303030014,3.317947865,2156721.75
Australia,2003,0.295208782,695460.25,9.520042419,3.322849035,2246633.25
Australia,2004,0.305403829,717622.1875,9.71378231,3.327757359,2341598.25
Australia,2005,0.30458051,739424,10.08303452,3.332672834,2447051.25
Australia,2006,0.30557695,767384.3125,10.38521767,3.343765259,2554775.25
Australia,2007,0.31316027,796338.375,10.76665688,3.3548944,2675688.5
Australia,2008,0.299689919,807217.875,11.13716125,3.366060734,2792842.5
Australia,2009,0.298703372,826023.6875,11.28225613,3.377264023,2914289.25
Australia,2010,0.303894728,841764,11.58066463,3.388504982,3041798.25
Austria,1980,0.254069149,156322.5469,3.16107583,2.379595041,464079.8438
Austria,1981,0.252115399,156096.9844,3.173410416,2.398318052,483048.3438
Austria,1982,0.245188326,159236.4844,3.267184496,2.417188644,497844.4375
Austria,1983,0.240090325,163970.7344,3.249792337,2.436207533,511895.3438
Austria,1984,0.270755142,164054.8125,3.329852343,2.455376148,525249.625
Austria,1985,0.301696777,168154.0156,3.330152988,2.474695683,540123.375
Austria,1986,0.294485748,172023.8906,3.380839109,2.492375135,554936.375
Austria,1987,0.29931432,174358.5469,3.401073217,2.510181189,570670.1875
Austria,1988,0.315035611,180105.1875,3.411891937,2.528114319,588534
Austria,1989,0.317659795,187106.0156,3.443745852,2.54617548,607601.125
Austria,1990,0.310785413,195236.9688,3.489660025,2.562932253,628095.3125
Austria,1991,0.317046255,201956.3125,3.540268421,2.582577467,651073.6875
Austria,1992,0.325743705,206184.3125,3.539586782,2.602373362,672982.0625
Austria,1993,0.325758994,207270.5156,3.515496254,2.62232089,693040.8125
Austria,1994,0.330541193,212249.3906,3.522022963,2.642421246,714811.4375
Austria,1995,0.336975008,217912.1719,3.519413233,2.662675858,736178.8125
Austria,1996,0.324211836,223287.2813,3.537587881,2.677080393,758539.3125
Austria,1997,0.306871861,228442.7969,3.564633131,2.691562891,779555.8125
Austria,1998,0.283581972,237090.5938,3.599046707,2.70612359,800660.3125
Austria,1999,0.277778804,245481.5313,3.650850534,2.720763206,820610
Austria,2000,0.262861699,254484.7813,3.686242104,2.735481977,841950.9375
Austria,2001,0.250354409,256666.75,3.719964981,2.746599674,861223.25
Austria,2002,0.228391156,261013.9844,3.72919488,2.757762194,876631.5
Austria,2003,0.244348735,263274.1563,3.770226717,2.768970251,893755.875
Austria,2004,0.245379865,270091.8438,3.811825275,2.780223846,910149.25
Austria,2005,0.252310157,276575.875,3.874055624,2.791523218,926188.125
Austria,2006,0.246865705,286725.625,3.955202579,2.801068068,942123.1875
Austria,2007,0.263449937,297351.5313,4.040891171,2.81064558,960039.4375
Austria,2008,0.263568491,301622.2813,4.133627892,2.820255756,977982.1875
Austria,2009,0.250351429,290212.9375,4.115152836,2.829898834,990606.625
Austria,2010,0.252066463,296165,4.158114433,2.839575052,1002648.313
Bahrain,1980,0.392264783,12140.90039,0.143404588,1.875487089,28763.67383
Bahrain,1981,0.365516663,11333.80078,0.152828783,1.90295732,30620.77344
Bahrain,1982,0.2814928,10483.07324,0.158730656,1.930829883,33180.24219
Bahrain,1983,0.357508212,11371.55469,0.162935257,1.959110737,37073.73438
Bahrain,1984,0.431319237,11928.63867,0.167022794,1.987805843,41306.90234
Bahrain,1985,0.365208477,10017.43848,0.172214255,2.016921282,42812.44141
Bahrain,1986,0.246173397,10130.70117,0.17846714,2.053473711,44149.10938
Bahrain,1987,0.208167225,10324.50586,0.186161175,2.090688944,45183.35156
Bahrain,1988,0.185674489,11255.77539,0.194441468,2.128578424,46552.98047
Bahrain,1989,0.184146404,11528.44434,0.202651605,2.167154551,48212.6875
Bahrain,1990,0.130216792,12062.03613,0.210640565,2.206429958,49957.06641
Bahrain,1991,0.227956831,12611.56934,0.218067273,2.263229609,52154.89063
Bahrain,1992,0.232512593,13594.85547,0.225116581,2.32149148,54647.79297
Bahrain,1993,0.124494597,14717.41309,0.232527524,2.381253242,57169.64844
Bahrain,1994,0.180727169,15065.58984,0.239878178,2.44255352,59688.51172
Bahrain,1995,0.140666947,15390.27637,0.248043254,2.505431652,61607.42969
Bahrain,1996,0.172701448,15866.81738,0.258319795,2.548871279,62897.96094
Bahrain,1997,0.179622784,16331.73633,0.270853877,2.582207918,64890.35547
Bahrain,1998,0.229441509,17096.36328,0.283500195,2.612265825,67729.27344
Bahrain,1999,0.123638488,17843.86719,0.292946875,2.642673492,68660.0625
Bahrain,2000,0.119249262,18804.52344,0.296861589,2.673435211,69830.79688
Bahrain,2001,0.141398504,19592.36133,0.292031825,2.693799973,71037.54688
Bahrain,2002,0.254538894,20611.45703,0.268554389,2.714319944,74381.17188
Bahrain,2003,0.272259414,22104.6543,0.245396197,2.734996319,78708.45313
Bahrain,2004,0.32583943,23352.36523,0.24401392,2.75583005,84024.07031
Bahrain,2005,0.331161559,25186.48242,0.271995574,2.776822329,89637.94531
Bahrain,2006,0.356440663,26861.75,0.332674205,2.792586088,97656.57813
Bahrain,2007,0.406184226,29113.80664,0.426006854,2.808439016,107017.5391
Bahrain,2008,0.387111753,30950.36328,0.545687079,2.824382067,117063.7813
Bahrain,2009,0.331946015,31911.45703,0.670592546,2.840415716,123956.6641
Bahrain,2010,0.332012177,33350.71484,0.768551528,2.856540203,132834.9844
Bangladesh,1980,0.119507909,65423.11328,23.29839516,1.351281524,124303.4766
Bangladesh,1981,0.122706026,67643.82813,23.69381523,1.370887756,132412.875
Bangladesh,1982,0.107944869,68475.95313,24.55781937,1.390778422,138263.9063
Bangladesh,1983,0.105808452,71826.86719,25.44316101,1.410957694,143951.2344
Bangladesh,1984,0.104191139,75723.91406,26.37368584,1.431429744,150144.6094
Bangladesh,1985,0.105386145,78004.625,27.42312813,1.452198863,156726.0156
Bangladesh,1986,0.15240404,81389.85938,28.53563118,1.466700435,169210.4688
Bangladesh,1987,0.125780523,84793.10938,29.47914696,1.481346846,177171.2656
Bangladesh,1988,0.115780696,87244.42969,30.43038559,1.496139407,183890.2031
Bangladesh,1989,0.108480863,89442.71875,31.37764359,1.511079788,190454.3438
Bangladesh,1990,0.102746718,95370.50781,32.16838837,1.526169419,198711.0625
Bangladesh,1991,0.097134709,98612.92969,33.22273254,1.549649358,204511.4688
Bangladesh,1992,0.113077767,102781.5938,33.85171127,1.57349062,212080.8594
Bangladesh,1993,0.127312809,107483.5547,34.46397018,1.597698689,221134.6094
Bangladesh,1994,0.135135755,111873.9297,35.07044601,1.622279167,231745.3125
Bangladesh,1995,0.143763959,117383.6719,35.67615509,1.647237778,243842.8594
Bangladesh,1996,0.158743605,122809.2422,36.27114487,1.680765986,257926.4531
Bangladesh,1997,0.170223922,129425.8047,36.84638214,1.713541508,273961.5313
Bangladesh,1998,0.185352802,136191.5156,37.40004349,1.73976469,292506.0313
Bangladesh,1999,0.204780474,142822.8594,37.93243408,1.766389251,313597.875
Bangladesh,2000,0.211583585,151313.4063,38.44456863,1.793421149,336540.0625
Bangladesh,2001,0.214811221,159293.0156,40.14767075,1.820529819,361182.1875
Bangladesh,2002,0.219996631,166326.6875,41.8962822,1.84804821,388379.0313
Bangladesh,2003,0.22335428,175068.8125,43.68447113,1.875982642,418528.875
Bangladesh,2004,0.231668681,186046.5,44.57498169,1.904339314,452507.375
Bangladesh,2005,0.237981245,197126.5313,45.44215012,1.933124542,490927.9063
Bangladesh,2006,0.241260797,210194.7188,46.27632904,1.960100889,533342.3125
Bangladesh,2007,0.241936013,223705.6875,47.07839203,1.987453699,579618.5625
Bangladesh,2008,0.236203477,237553.9688,47.8649826,2.015188217,626195.8125
Bangladesh,2009,0.236893773,251192.3125,48.55189133,2.043309927,675653.3125
Bangladesh,2010,0.238614678,266438.0938,49.39696884,2.071823835,729364.125
Barbados,1980,0.189924762,4973.550781,0.098050699,2.381611347,3015.9729
Barbados,1981,0.211752206,4879.053223,0.099075593,2.413817883,3197.51416
Barbados,1982,0.162923515,4639.97998,0.096202411,2.446460009,3312.630615
Barbados,1983,0.1359604,4663.179688,0.094637282,2.479543686,3392.33374
Barbados,1984,0.112296358,4831.054199,0.092056721,2.513074636,3446.149658
Barbados,1985,0.11690744,4884.195801,0.09108752,2.547059059,3487.767822
Barbados,1986,0.105023906,5133.289551,0.095182002,2.56850934,3549.565186
Barbados,1987,0.095534131,5266.755371,0.096947163,2.585860968,3615.053711
Barbados,1988,0.099149421,5451.091797,0.099400222,2.603329659,3697.343262
Barbados,1989,0.0972794,5647.331055,0.106369987,2.620916605,3802.614258
Barbados,1990,0.08922828,5460.969238,0.104091704,2.638622284,3901.83667
Barbados,1991,0.087690495,5247.991211,0.100250594,2.653548002,3986.987061
Barbados,1992,0.05014243,4880.631836,0.094840482,2.668558121,3996.69873
Barbados,1993,0.06657283,4939.199219,0.094030581,2.683653355,4024.151611
Barbados,1994,0.06628868,5126.88916,0.10392005,2.698833704,4064.013428
Barbados,1995,0.071270458,5229.426758,0.10815461,2.714100122,4129.351563
Barbados,1996,0.058554977,5438.604004,0.113830008,2.712370634,4198.203125
Barbados,1997,0.065725923,5694.218262,0.115532205,2.710642338,4301.251465
Barbados,1998,0.076623484,5904.904297,0.119298689,2.708914995,4433.973633
Barbados,1999,0.079269029,5928.523926,0.122560039,2.707188845,4578.039063
Barbados,2000,0.069175012,6064.879883,0.12609221,2.705463886,4682.810547
Barbados,2001,0.074874587,5907.193359,0.127703056,2.725974321,4790.961914
Barbados,2002,0.076108389,5948.543457,0.125152424,2.746640444,4878.005371
Barbados,2003,0.073941492,6067.51416,0.125693575,2.767463207,4973.470215
Barbados,2004,0.078714937,6152.459473,0.127800226,2.788443804,5075.560547
Barbados,2005,0.073698387,6398.558105,0.128733441,2.809583426,5183.294922
Barbados,2006,0.079003461,6763.275879,0.129675478,2.817854881,5317.478516
Barbados,2007,0.080261625,6878.251465,0.130606145,2.826150417,5467.44043
Barbados,2008,0.068745032,6898.88623,0.131341726,2.83447051,5548.362793
Barbados,2009,0.060322396,6616.031738,0.132457241,2.842814922,5576.07666
Barbados,2010,0.059251394,6629.26416,0.133191615,2.851183891,5590.494141
Belgium,1980,0.313654274,201774.25,3.774697065,2.666109085,538289.9375
Belgium,1981,0.269934386,201210.7344,3.70271349,2.682070494,552769.25
Belgium,1982,0.254791945,202407.9063,3.651618958,2.698127508,563594.1875
Belgium,1983,0.225351423,203039.1094,3.602139235,2.714280605,572270
Belgium,1984,0.255053073,208046.8281,3.600670099,2.7305305,582163.25
Belgium,1985,0.252111048,211483.3281,3.618353128,2.74687767,592818.3125
Belgium,1986,0.252203524,215338.1719,3.644555092,2.766355753,605439.9375
Belgium,1987,0.265557945,220305.2813,3.675503016,2.785972118,619475.75
Belgium,1988,0.287072569,230710.7656,3.750416994,2.805727482,639570.875
Belgium,1989,0.302016139,238714.5,3.798052073,2.825623035,664064.3125
Belgium,1990,0.301631629,246203.9375,3.837174177,2.845659494,692085.0625
Belgium,1991,0.288312167,250717.0313,3.847139835,2.858404398,716285
Belgium,1992,0.291283906,254554.6563,3.8372159,2.871206284,740326.4375
Belgium,1993,0.290265143,252106.1563,3.807753325,2.884065628,761407.375
Belgium,1994,0.283339798,260241.5469,3.787377834,2.896982431,782366
Belgium,1995,0.279078841,266447.6875,3.84417367,2.90995717,805346
Belgium,1996,0.275251001,270243.1563,3.852199078,2.921557903,828593.25
Belgium,1997,0.26536873,280337.0625,3.876881361,2.933204889,854925.8125
Belgium,1998,0.2491595,285744.5313,3.943590641,2.944898367,881805.0625
Belgium,1999,0.247782856,295859.2188,3.998608589,2.956638336,908753.8125
Belgium,2000,0.248538986,306716.4375,4.078752995,2.968425274,935740.375
Belgium,2001,0.238051042,309193.9063,4.137417316,2.98045063,961937.0625
Belgium,2002,0.209558651,313397.9375,4.140601635,2.992524862,984189.9375
Belgium,2003,0.221108824,315926.4063,4.149837017,3.00464797,1004537.313
Belgium,2004,0.251550078,326270.9063,4.207541466,3.016820192,1028102.75
Belgium,2005,0.270509243,331984.4375,4.284496784,3.029041529,1055504
Belgium,2006,0.284328938,340836.2813,4.35084343,3.035156727,1084603
Belgium,2007,0.297558099,350663.4063,4.444800854,3.041284323,1119220.75
Belgium,2008,0.319779813,354118.0938,4.545991421,3.047424078,1152265.75
Belgium,2009,0.281881481,344286.5,4.558443069,3.053576469,1182722.5
Belgium,2010,0.292184234,352620.5625,4.607111454,3.05974102,1206419.5
Belize,1980,0.182144433,540.4840698,0.040299524,2.557317734,677.5151367
Belize,1981,0.19789809,547.5889282,0.041703753,2.568853617,697.3071899
Belize,1982,0.131050169,546.0387573,0.043405447,2.579564095,706.3394775
Belize,1983,0.127625167,534.2835083,0.045205224,2.590319157,709.112793
Belize,1984,0.165739954,544.8761597,0.04709423,2.60111928,718.9313354
Belize,1985,0.140599415,550.4308472,0.049014468,2.611964226,722.6583252
Belize,1986,0.120638266,575.749939,0.05077811,2.62612319,730.465271
Belize,1987,0.14534238,640.4539795,0.052475188,2.640358925,757.2426758
Belize,1988,0.164918825,699.3463135,0.054190438,2.654671669,801.9117432
Belize,1989,0.187099442,790.3969116,0.055747725,2.669062138,857.086853
Belize,1990,0.151453301,881.0600586,0.057529174,2.683530569,911.9232178
Belize,1991,0.184708357,903.7904663,0.058925144,2.687327147,978.2201538
Belize,1992,0.212229997,958.291687,0.060249232,2.691128969,1046.064575
Belize,1993,0.204223275,1019.702454,0.062084999,2.694936037,1127.619629
Belize,1994,0.136750996,1044.822021,0.062429998,2.698748589,1171.059692
Belize,1995,0.120761506,1088.345581,0.062569998,2.702566624,1220.936401
Belize,1996,0.127006739,1105.522461,0.065025002,2.710801125,1261.261719
Belize,1997,0.124832794,1145.230835,0.07068,2.719060898,1299.120605
Belize,1998,0.114311345,1187.568848,0.073344998,2.727345943,1333.299805
Belize,1999,0.146835253,1291.354004,0.077754997,2.735656023,1401.928833
Belize,2000,0.192233995,1458.164185,0.081756972,2.743991613,1509.430054
Belize,2001,0.162702143,1530.217773,0.085869007,2.757852316,1598.628296
Belize,2002,0.148106113,1608.144287,0.084720001,2.771782875,1673.066406
Belize,2003,0.118930496,1758.299683,0.089227602,2.785784006,1721.527832
Belize,2004,0.111245215,1839.732422,0.093851171,2.799855709,1760.478882
Belize,2005,0.106339917,1896.358521,0.098588996,2.813998699,1808.949829
Belize,2006,0.099686667,2002.94873,0.102233998,2.821571827,1854.281738
Belize,2007,0.10384953,2008.471069,0.111834995,2.829165459,1908.087891
Belize,2008,0.152926251,2084.206055,0.114464998,2.836779356,2012.857544
Belize,2009,0.125695437,2083.680176,0.111121267,2.844413757,2077.70752
Belize,2010,0.096474156,2140.832275,0.107570998,2.852068901,2109.906006
Benin,1980,0.075529255,4445.444824,1.419569254,1.177003503,13693.04883
Benin,1981,0.057164162,4695.45459,1.450355291,1.193128109,14316.55664
Benin,1982,0.09255401,5201.74707,1.487234592,1.20947361,15477.25781
Benin,1983,0.053801857,4975.682617,1.53008461,1.226042986,15912.58398
Benin,1984,0.041696198,5370.259766,1.567789316,1.242839336,16152.99316
Benin,1985,0.051988538,5774.572754,1.60402596,1.25986588,16504.33594
Benin,1986,0.042072922,5898.637207,1.647174001,1.273617268,16582.97852
Benin,1987,0.044068165,5810.158203,1.691204667,1.28751874,16742.5625
Benin,1988,0.048398551,5986.464355,1.735755563,1.301571965,16768.79492
Benin,1989,0.042061035,5944.105957,1.790809155,1.315778613,16775.55859
Benin,1990,0.067556329,6125.808594,1.850958347,1.330140233,17045.12305
Benin,1991,0.075096972,6383.812012,1.917348862,1.347175121,17371.27148
Benin,1992,0.082412273,6573.172363,1.996784091,1.364428282,17726.08984
Benin,1993,0.094044857,6956.627441,2.077838898,1.381902218,18128.81836
Benin,1994,0.100619309,7097.463867,2.158294916,1.399600148,18469.125
Benin,1995,0.135598853,7816.565918,2.234825134,1.417524576,18933.89453
Benin,1996,0.117195003,8155.202148,2.302683353,1.436838388,19360.52344
Benin,1997,0.127309307,8622.873047,2.363188028,1.456415296,19838.68555
Benin,1998,0.115038842,8964.425781,2.423102617,1.476258993,20324.7168
Benin,1999,0.128859073,9443.255859,2.487733126,1.496373177,20861.28711
Benin,2000,0.124870896,9902.356445,2.560813904,1.516761303,21468.07617
Benin,2001,0.14765881,10521.0957,2.639856815,1.53885138,22160.13281
Benin,2002,0.142992377,10986.24609,2.726836205,1.561263323,22942.45898
Benin,2003,0.159382075,11412.78711,2.831500769,1.584001541,23858.17383
Benin,2004,0.174407363,11768.85059,2.939760208,1.607071042,24764.87695
Benin,2005,0.145458668,12106.05566,3.049306393,1.630476475,25726.66211
Benin,2006,0.175070062,12560.29395,3.15973258,1.661595821,26785.93359
Benin,2007,0.168369114,13141.38281,3.271684885,1.693309188,27963.54688
Benin,2008,0.170004249,13800.87891,3.385160208,1.721556783,29288.9043
Benin,2009,0.172393471,14168.88086,3.500390053,1.746265054,30634.19336
Benin,2010,0.160958663,14530.58203,3.617604733,1.771327853,31771.35938
Bolivia,1980,0.119192123,16958.26758,1.609675169,1.983340502,46746.89063
Bolivia,1981,0.135990575,17115.09766,1.650704384,2.019533634,47141.29688
